image,caseType,locationIndex,targetMacroblockCount,decryptCompleted,exactRecovery,changedPixels,outsideTargetPixels,affectedMacroblockCount
kodim01.png,crossSessionReplay,1,1,1,0,256,0,1
kodim01.png,crossSessionReplay,2,1,1,0,256,0,1
kodim01.png,crossSessionReplay,3,1,1,0,256,0,1
kodim01.png,withinCipherSwap,1,2,1,0,512,0,2
kodim02.png,crossSessionReplay,1,1,1,0,256,0,1
kodim02.png,crossSessionReplay,2,1,1,0,256,0,1
kodim02.png,crossSessionReplay,3,1,1,0,256,0,1
kodim02.png,withinCipherSwap,1,2,1,0,512,0,2
kodim03.png,crossSessionReplay,1,1,1,0,256,0,1
kodim03.png,crossSessionReplay,2,1,1,0,256,0,1
kodim03.png,crossSessionReplay,3,1,1,0,256,0,1
kodim03.png,withinCipherSwap,1,2,1,0,512,0,2
kodim04.png,crossSessionReplay,1,1,1,0,256,0,1
kodim04.png,crossSessionReplay,2,1,1,0,256,0,1
kodim04.png,crossSessionReplay,3,1,1,0,256,0,1
kodim04.png,withinCipherSwap,1,2,1,0,512,0,2
kodim05.png,crossSessionReplay,1,1,1,0,256,0,1
kodim05.png,crossSessionReplay,2,1,1,0,256,0,1
kodim05.png,crossSessionReplay,3,1,1,0,256,0,1
kodim05.png,withinCipherSwap,1,2,1,0,512,0,2
kodim06.png,crossSessionReplay,1,1,1,0,256,0,1
kodim06.png,crossSessionReplay,2,1,1,0,256,0,1
kodim06.png,crossSessionReplay,3,1,1,0,256,0,1
kodim06.png,withinCipherSwap,1,2,1,0,512,0,2
kodim07.png,crossSessionReplay,1,1,1,0,256,0,1
kodim07.png,crossSessionReplay,2,1,1,0,256,0,1
kodim07.png,crossSessionReplay,3,1,1,0,256,0,1
kodim07.png,withinCipherSwap,1,2,1,0,512,0,2
kodim08.png,crossSessionReplay,1,1,1,0,256,0,1
kodim08.png,crossSessionReplay,2,1,1,0,256,0,1
kodim08.png,crossSessionReplay,3,1,1,0,256,0,1
kodim08.png,withinCipherSwap,1,2,1,0,512,0,2
