seedIndex,locationIndex,stage,affectedBytes,affectedBits,outsideTouchedMacroblockBytes,insideAffectedBytes
1,1,1,4,19,0,4
1,1,2,12,41,0,12
1,1,3,22,84,0,22
1,1,4,48,187,0,48
1,1,5,95,397,0,95
1,1,6,189,747,0,189
1,1,7,384,1551,0,384
1,1,8,664,2682,0,664
1,1,9,762,3068,0,762
1,2,1,6,24,0,6
1,2,2,12,51,0,12
1,2,3,24,100,0,24
1,2,4,48,192,0,48
1,2,5,96,372,0,96
1,2,6,190,764,0,190
1,2,7,380,1498,0,380
1,2,8,600,2392,0,600
1,2,9,762,3101,0,762
1,3,1,4,14,0,4
1,3,2,12,49,0,12
1,3,3,24,111,0,24
1,3,4,46,205,0,46
1,3,5,96,383,0,96
1,3,6,192,779,0,192
1,3,7,382,1501,0,382
1,3,8,738,3015,0,738
1,3,9,766,3038,0,766
1,4,1,4,16,0,4
1,4,2,12,48,0,12
1,4,3,24,102,0,24
1,4,4,48,194,0,48
1,4,5,96,388,0,96
1,4,6,192,746,0,192
1,4,7,291,1156,0,291
1,4,8,486,1965,0,486
1,4,9,762,3031,0,762
1,5,1,6,26,0,6
1,5,2,12,48,0,12
1,5,3,24,91,0,24
1,5,4,48,170,0,48
1,5,5,96,379,0,96
1,5,6,192,737,0,192
1,5,7,383,1528,0,383
1,5,8,682,2767,0,682
1,5,9,765,3084,0,765
1,6,1,4,19,0,4
1,6,2,12,54,0,12
1,6,3,24,109,0,24
1,6,4,48,199,0,48
1,6,5,96,386,0,96
1,6,6,192,752,0,192
1,6,7,307,1228,0,307
1,6,8,499,2021,0,499
1,6,9,766,3144,0,766
1,7,1,4,11,0,4
1,7,2,12,54,0,12
1,7,3,24,86,0,24
1,7,4,48,192,0,48
1,7,5,96,429,0,96
1,7,6,174,665,0,174
1,7,7,267,1128,0,267
1,7,8,460,1825,0,460
1,7,9,762,3038,0,762
2,1,1,4,14,0,4
2,1,2,12,45,0,12
2,1,3,18,76,0,18
2,1,4,29,128,0,29
2,1,5,51,215,0,51
2,1,6,100,418,0,100
2,1,7,198,775,0,198
2,1,8,389,1599,0,389
2,1,9,768,3086,0,768
2,2,1,6,19,0,6
2,2,2,12,43,0,12
2,2,3,24,95,0,24
2,2,4,48,186,0,48
2,2,5,96,351,0,96
2,2,6,192,782,0,192
2,2,7,342,1369,0,342
2,2,8,532,2157,0,532
2,2,9,766,3122,0,766
2,3,1,4,17,0,4
2,3,2,12,54,0,12
2,3,3,24,94,0,24
2,3,4,48,189,0,48
2,3,5,95,386,0,95
2,3,6,192,799,0,192
2,3,7,384,1546,0,384
2,3,8,694,2820,0,694
2,3,9,766,3089,0,766
2,4,1,4,16,0,4
2,4,2,12,50,0,12
2,4,3,24,86,0,24
2,4,4,48,189,0,48
2,4,5,96,387,0,96
2,4,6,191,706,0,191
2,4,7,360,1466,0,360
2,4,8,550,2207,0,550
2,4,9,767,3056,0,767
2,5,1,6,24,0,6
2,5,2,12,43,0,12
2,5,3,24,92,0,24
2,5,4,48,191,0,48
2,5,5,96,383,0,96
2,5,6,168,646,0,168
2,5,7,264,1082,0,264
2,5,8,453,1796,0,453
2,5,9,766,3005,0,766
2,6,1,4,15,0,4
2,6,2,12,49,0,12
2,6,3,24,101,0,24
2,6,4,48,194,0,48
2,6,5,96,358,0,96
2,6,6,192,772,0,192
2,6,7,370,1509,0,370
2,6,8,561,2291,0,561
2,6,9,766,3065,0,766
2,7,1,4,9,0,4
2,7,2,12,42,0,12
2,7,3,24,101,0,24
2,7,4,46,178,0,46
2,7,5,92,388,0,92
2,7,6,192,754,0,192
2,7,7,384,1543,0,384
2,7,8,611,2428,0,611
2,7,9,764,3051,0,764
3,1,1,4,16,0,4
3,1,2,12,56,0,12
3,1,3,24,113,0,24
3,1,4,48,191,0,48
3,1,5,88,338,0,88
3,1,6,138,584,0,138
3,1,7,231,949,0,231
3,1,8,426,1736,0,426
3,1,9,766,3019,0,766
3,2,1,6,23,0,6
3,2,2,12,49,0,12
3,2,3,24,92,0,24
3,2,4,47,185,0,47
3,2,5,84,357,0,84
3,2,6,131,539,0,131
3,2,7,228,937,0,228
3,2,8,416,1677,0,416
3,2,9,763,3082,0,763
3,3,1,4,8,0,4
3,3,2,12,49,0,12
3,3,3,24,98,0,24
3,3,4,48,196,0,48
3,3,5,96,381,0,96
3,3,6,189,744,0,189
3,3,7,384,1551,0,384
3,3,8,726,2885,0,726
3,3,9,763,2960,0,763
3,4,1,4,13,0,4
3,4,2,12,49,0,12
3,4,3,24,94,0,24
3,4,4,41,164,0,41
3,4,5,64,273,0,64
3,4,6,114,445,0,114
3,4,7,210,809,0,210
3,4,8,399,1577,0,399
3,4,9,768,3051,0,768
3,5,1,6,26,0,6
3,5,2,12,41,0,12
3,5,3,24,104,0,24
3,5,4,48,196,0,48
3,5,5,95,372,0,95
3,5,6,161,662,0,161
3,5,7,258,1053,0,258
3,5,8,450,1793,0,450
3,5,9,765,3079,0,765
3,6,1,4,13,0,4
3,6,2,12,54,0,12
3,6,3,24,106,0,24
3,6,4,48,213,0,48
3,6,5,94,352,0,94
3,6,6,192,778,0,192
3,6,7,384,1520,0,384
3,6,8,763,3045,0,763
3,6,9,766,3099,0,766
3,7,1,4,20,0,4
3,7,2,12,55,0,12
3,7,3,24,104,0,24
3,7,4,48,184,0,48
3,7,5,96,368,0,96
3,7,6,192,745,0,192
3,7,7,384,1497,0,384
3,7,8,580,2375,0,580
3,7,9,766,3144,0,766
