image,nonceIndex,perturbation,height,width,changedCipherBytes,changedCipherPixels,meanChannelNPCR_percent,minimumChannelNPCR_percent,meanChannelUACI_percent,minimumChannelUACI_percent,roundTripPass
kodim01.png,1,plaintextBit,512,768,1175149,393216,99.6186150444879,99.6103922526042,33.4530383673109,33.4161097707312,1
kodim01.png,1,masterKeyBit,512,768,1175118,393216,99.6159871419271,99.6103922526042,33.4734705174931,33.4663790035872,1
kodim01.png,1,nonceBit,512,768,1175000,393216,99.6059841579861,99.5958964029948,33.4799101254,33.4467370525685,1
kodim01.png,2,plaintextBit,512,768,1175124,393216,99.6164957682292,99.6053059895833,33.4442703812211,33.3971759073096,1
kodim01.png,2,masterKeyBit,512,768,1174953,393216,99.6019999186198,99.5951334635417,33.4306445152931,33.3905388327206,1
kodim01.png,2,nonceBit,512,768,1175111,393216,99.6153937445746,99.6060689290365,33.4460406002136,33.4439166698581,1
kodim01.png,3,plaintextBit,512,768,1175080,393216,99.6127658420139,99.6078491210938,33.4735925213185,33.4498227188011,1
kodim01.png,3,masterKeyBit,512,768,1175121,393216,99.6162414550781,99.6139526367188,33.4690853609239,33.4373753366907,1
kodim01.png,3,nonceBit,512,768,1174967,393216,99.6031867133246,99.5948791503906,33.4390295356967,33.4190937117035,1
kodim02.png,1,plaintextBit,512,768,1175088,393216,99.6134440104167,99.6106465657552,33.430000587746,33.3752930086423,1
kodim02.png,1,masterKeyBit,512,768,1174982,393216,99.6044582790799,99.5943705240885,33.4817458341844,33.4586837868286,1
kodim02.png,1,nonceBit,512,768,1174913,393216,99.5986090766059,99.5941162109375,33.4608110415391,33.4348701028263,1
kodim02.png,2,plaintextBit,512,768,1175019,393216,99.6075948079427,99.5875040690104,33.4747154884089,33.4427737566381,1
kodim02.png,2,masterKeyBit,512,768,1175111,393216,99.6153937445746,99.6025085449219,33.4629612342985,33.4576605503856,1
kodim02.png,2,nonceBit,512,768,1175086,393216,99.613274468316,99.6060689290365,33.4468414373128,33.4241221309488,1
kodim02.png,3,plaintextBit,512,768,1174987,393216,99.6048821343316,99.5905558268229,33.4314908960546,33.3697609496273,1
kodim02.png,3,masterKeyBit,512,768,1175041,393216,99.6094597710504,99.5933532714844,33.4613748521327,33.4382559583078,1
kodim02.png,3,nonceBit,512,768,1175015,393216,99.6072557237413,99.5923360188802,33.4634788363588,33.436714122498,1
kodim03.png,1,plaintextBit,512,768,1175028,393216,99.6083577473958,99.6037801106771,33.4870112799352,33.4651463327845,1
kodim03.png,1,masterKeyBit,512,768,1175055,393216,99.6106465657552,99.6086120605469,33.4734429253473,33.458155214397,1
kodim03.png,1,nonceBit,512,768,1175065,393216,99.6114942762587,99.6065775553385,33.4891588132107,33.4747085072636,1
kodim03.png,2,plaintextBit,512,768,1175045,393216,99.6097988552517,99.6086120605469,33.4560236380251,33.3959482230393,1
